2025-06-24 20:23:06 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:07 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:08 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:09 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:10 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:11 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:12 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:13 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:14 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:15 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:16 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:17 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:18 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:19 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:20 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:21 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:22 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:23 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:24 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:25 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:26 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:27 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:28 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:29 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:30 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:31 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:32 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:33 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:34 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:35 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:36 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:37 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:38 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:39 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:40 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:23:41 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:24:00 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:24:44 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:24:45 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:24:46 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:24:47 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:28:46 [INFO] routes\task.py - Incoming connection...
2025-06-24 20:28:46 [INFO] routes\task.py - Connection accepted
2025-06-24 20:28:46 [DEBUG] routes\task.py - task_logs {'data': {}}
2025-06-24 20:28:46 [INFO] routes\task.py - Incoming connection...
2025-06-24 20:28:46 [INFO] routes\task.py - Connection accepted
2025-06-24 20:28:46 [DEBUG] routes\task.py - task_logs {'data': {}}
